rank,team,solved,penalty,problems
185,passover-nemeses-857,50,36,36 1 try | score_cell || score_cell || score_cell || score_cell
186,enclose-appeasing-1046,50,40,40 1 try | score_cell || score_cell || score_cell || score_cell
187,dyslexic-stapling-699,50,46,40 3 tries | score_cell || 4 tries | score_cell || score_cell || score_cell
188,reunion-proponent-1485,50,46,46 1 try | score_cell || score_cell || score_cell || score_cell
189,broadness-cold-769,50,47,47 1 try | score_cell || score_cell || score_cell || score_cell
190,hatchling-discharge-1416,50,48,48 1 try | score_cell || score_cell || score_cell || score_cell
191,language-cupping-10,50,53,53 1 try | score_cell || 1 try | score_cell || 1 try | score_cell || score_cell
192,unruly-steadily-610,50,55,55 1 try | score_cell || score_cell || score_cell || score_cell
193,applause-detonate-1572,50,60,60 1 try | score_cell || score_cell || score_cell || score_cell
194,shoptalk-purple-92,50,64,64 1 try | score_cell || score_cell || score_cell || score_cell
195,staring-concur-288,50,68,68 1 try | score_cell || score_cell || score_cell || score_cell
196,grime-kangaroo-1502,50,69,69 1 try | score_cell || 1 try | score_cell || score_cell || score_cell
,planner-skinhead-533,50,69,69 1 try | score_cell || score_cell || score_cell || score_cell
198,discharge-antivirus-372,50,76,76 1 try | score_cell || score_cell || score_cell || score_cell
199,makeshift-cogwheel-1016,50,87,87 1 try | score_cell || score_cell || score_cell || score_cell
200,kilogram-unified-945,50,90,90 1 try | score_cell || score_cell || 1 try | score_cell || score_cell
201,catapult-residency-1400,50,108,108 1 try | score_cell || score_cell || score_cell || score_cell
202,recycler-dean-1360,50,133,133 1 try | score_cell || score_cell || score_cell || score_cell
203,detest-entangled-270,50,145,130 6 tries | score_cell || score_cell || score_cell || score_cell
204,scoreless-alfalfa-638,50,147,138 4 tries | score_cell || score_cell || score_cell || score_cell
205,coyness-headstand-1496,50,153,153 1 try | score_cell || score_cell || score_cell || score_cell
206,negation-scam-77,50,163,163 1 try | score_cell || score_cell || score_cell || score_cell
207,treason-ellipse-80,50,170,170 1 try | score_cell || score_cell || score_cell || score_cell
208,cactus-stiffness-1618,50,175,160 6 tries | score_cell || score_cell || score_cell || score_cell
209,culpable-curler-1499,50,196,184 5 tries | score_cell || score_cell || score_cell || score_cell
210,subsiding-raffle-331,50,200,200 1 try | score_cell || score_cell || score_cell || score_cell
211,splashed-heap-604,50,207,207 1 try | score_cell || score_cell || score_cell || score_cell
,tables-gigolo-249,50,207,207 1 try | score_cell || score_cell || score_cell || score_cell
213,viscosity-disregard-1547,50,208,205 2 tries | score_cell || score_cell || score_cell || score_cell
214,trace-sizzle-617,50,209,209 1 try | score_cell || score_cell || score_cell || score_cell
215,halved-manlike-751,50,215,215 1 try | score_cell || score_cell || score_cell || score_cell
216,easeful-treachery-482,50,220,217 2 tries | score_cell || score_cell || score_cell || score_cell
217,distinct-umpire-686,50,309,309 1 try | score_cell || score_cell || score_cell || score_cell
218,ruse-quiet-1587,50,689,689 1 try | score_cell || score_cell || score_cell || score_cell
219,unplug-flight-378,50,754,754 1 try | score_cell || score_cell || score_cell || score_cell
220,penniless-spotty-485,50,785,785 1 try | score_cell || score_cell || score_cell || score_cell
221,refute-jump-1497,50,839,839 1 try | score_cell || score_cell || score_cell || score_cell
222,outmatch-bagel-1229,50,840,840 1 try | score_cell || score_cell || score_cell || score_cell
223,deserving-exquisite-931,50,844,844 1 try | score_cell || score_cell || score_cell || score_cell
224,outback-unseen-963,50,860,860 1 try | score_cell || score_cell || 3 tries | score_cell || score_cell
225,enchanted-prepaid-68,50,866,866 1 try | score_cell || score_cell || score_cell || score_cell
226,decimeter-patience-1093,50,917,917 1 try | score_cell || score_cell || score_cell || score_cell
,senator-casually-405,50,917,917 1 try | score_cell || score_cell || score_cell || score_cell
228,contently-unstaffed-1191,50,918,918 1 try | score_cell || score_cell || score_cell || score_cell
229,abdominal-glare-185,0,0,score_cell || score_cell || score_cell || score_cell
,abiding-opponent-967,0,0,score_cell || score_cell || score_cell || score_cell
,abruptly-colossal-108,0,0,score_cell || score_cell || score_cell || score_cell
,absolve-decent-570,0,0,score_cell || score_cell || score_cell || score_cell
,accent-regular-1300,0,0,score_cell || score_cell || score_cell || score_cell
,account-catalog-1403,0,0,score_cell || score_cell || score_cell || score_cell
,acetone-aloft-353,0,0,score_cell || score_cell || score_cell || score_cell
,acquire-carmaker-54,0,0,score_cell || score_cell || score_cell || score_cell
,acting-dolphin-1656,0,0,score_cell || score_cell || score_cell || score_cell
,activate-devourer-1480,0,0,score_cell || score_cell || score_cell || score_cell
,active-framing-1453,0,0,score_cell || score_cell || score_cell || score_cell
,activist-wackiness-508,0,0,score_cell || score_cell || score_cell || score_cell
,aerobics-footprint-556,0,0,score_cell || score_cell || score_cell || score_cell
,aerobics-jiffy-1629,0,0,score_cell || score_cell || score_cell || score_cell
,aerobics-savior-1230,0,0,score_cell || score_cell || score_cell || score_cell
,affecting-enlarging-246,0,0,score_cell || score_cell || score_cell || score_cell
,affecting-pentagon-1079,0,0,score_cell || score_cell || score_cell || score_cell
,aghast-audience-497,0,0,score_cell || score_cell || score_cell || score_cell
,ahoy-dreaded-742,0,0,score_cell || score_cell || score_cell || score_cell
,aide-kilogram-480,0,0,score_cell || score_cell || score_cell || score_cell
,aide-subheader-1365,0,0,score_cell || score_cell || score_cell || score_cell
,algorithm-slab-1551,0,0,score_cell || score_cell || score_cell || score_cell
,alive-arise-258,0,0,score_cell || score_cell || score_cell || score_cell
,always-patient-238,0,0,score_cell || score_cell || score_cell || score_cell
,amaze-likely-646,0,0,score_cell || score_cell || score_cell || score_cell
,ammonia-stunned-748,0,0,score_cell || score_cell || score_cell || score_cell
,amulet-magnetism-1375,0,0,score_cell || score_cell || score_cell || score_cell
,anaerobic-capacity-1640,0,0,score_cell || score_cell || score_cell || score_cell
,anchor-qualify-1474,0,0,score_cell || score_cell || score_cell || score_cell
,anchovy-giveaway-1624,0,0,score_cell || score_cell || score_cell || score_cell
,angelic-irrigate-277,0,0,score_cell || score_cell || score_cell || score_cell
,angular-festive-1319,0,0,score_cell || score_cell || score_cell || score_cell
,animating-disobey-163,0,0,score_cell || score_cell || score_cell || score_cell
,anime-stinger-749,0,0,score_cell || score_cell || score_cell || score_cell
,annex-partridge-233,0,0,score_cell || score_cell || score_cell || score_cell
,annoying-transpose-1112,0,0,score_cell || score_cell || score_cell || score_cell
,another-unrivaled-841,0,0,score_cell || score_cell || score_cell || score_cell
,antiquity-herring-1523,0,0,score_cell || score_cell || score_cell || score_cell
,antonym-huddling-192,0,0,score_cell || score_cell || score_cell || score_cell
,appeasing-nucleus-1076,0,0,score_cell || score_cell || score_cell || score_cell
,appendage-clamshell-175,0,0,score_cell || score_cell || score_cell || score_cell
,approach-straining-1289,0,0,score_cell || score_cell || score_cell || score_cell
,area-anthem-84,0,0,score_cell || score_cell || score_cell || score_cell
,armful-hypnosis-78,0,0,score_cell || score_cell || score_cell || score_cell
,armful-legume-881,0,0,score_cell || score_cell || score_cell || score_cell
